投球数,球種,球速,結果,投手,打者,スコア,投球コース
1,ストレート,146km/h,ボール,渡邉 勇太朗,辰己 涼介,0-0,top:11px; left:132px;
2,ストレート,146km/h,見逃し,渡邉 勇太朗,辰己 涼介,0-0,top:119px; left:112px;
3,スライダー,130km/h,ファウル,渡邉 勇太朗,辰己 涼介,0-0,top:35px; left:72px;
4,ストレート,149km/h,ボール,渡邉 勇太朗,辰己 涼介,0-0,top:150px; left:99px;
5,カットボール,135km/h,左失,渡邉 勇太朗,辰己 涼介,0-0,top:88px; left:68px;
1,ストレート,147km/h,見逃し,渡邉 勇太朗,銀次,0-0,top:89px; left:109px;
2,ストレート,147km/h,ボール,渡邉 勇太朗,銀次,0-0,top:154px; left:122px;
3,カットボール,141km/h,ボール,渡邉 勇太朗,銀次,0-0,top:159px; left:28px;
4,ストレート,147km/h,見逃し,渡邉 勇太朗,銀次,0-0,top:140px; left:32px;
5,ストレート,149km/h,ボール,渡邉 勇太朗,銀次,0-0,top:155px; left:135px;
6,ストレート,147km/h,中飛  [走者動けず],渡邉 勇太朗,銀次,0-0,top:20px; left:83px;
1,ストレート,146km/h,ファウル,渡邉 勇太朗,浅村 栄斗,0-0,top:82px; left:78px;
2,ストレート,146km/h,見逃し,渡邉 勇太朗,浅村 栄斗,0-0,top:55px; left:100px;
3,スライダー,138km/h,三ゴロ  [泳ぎ、引っかけ],渡邉 勇太朗,浅村 栄斗,0-0,top:125px; left:32px;
1,カーブ,121km/h,ボール,渡邉 勇太朗,島内 宏明,0-0,top:160px; left:68px;
2,カットボール,134km/h,見逃し,渡邉 勇太朗,島内 宏明,0-0,top:85px; left:90px;
3,スライダー,134km/h,一ゴロ,渡邉 勇太朗,島内 宏明,0-0,top:84px; left:65px;
1,ストレート,149km/h,見逃し,則本 昂大,鈴木 将平,0-0,top:120px; left:69px;
2,ストレート,148km/h,見逃し,則本 昂大,鈴木 将平,0-0,top:47px; left:27px;
3,フォーク,138km/h,遊失  [送球がプレイングフィールドの外に出る],則本 昂大,鈴木 将平,0-0,top:84px; left:120px;
1,ストレート,138km/h,投犠打,則本 昂大,源田 壮亮,0-0,top:127px; left:104px;
1,ストレート,150km/h,ファウル,則本 昂大,森 友哉,0-1,top:64px; left:49px;
2,ストレート,152km/h,ボール,則本 昂大,森 友哉,0-1,top:21px; left:100px;
3,フォーク,139km/h,ボール,則本 昂大,森 友哉,0-1,top:159px; left:100px;
4,スライダー,136km/h,ボール,則本 昂大,森 友哉,0-1,top:164px; left:4px;
5,ストレート,153km/h,左安  [内野前進],則本 昂大,森 友哉,0-1,top:53px; left:72px;
1,ストレート,150km/h,死球,則本 昂大,山川 穂高,0-1,top:8px; left:130px;
1,スライダー,132km/h,ボール  [ハーフスイング],則本 昂大,ジャンセン・ウィティ,0-1,top:160px; left:27px;
2,ストレート,150km/h,見逃し,則本 昂大,ジャンセン・ウィティ,0-1,top:124px; left:75px;
3,フォーク,135km/h,ボール,則本 昂大,ジャンセン・ウィティ,0-1,top:161px; left:127px;
4,フォーク,137km/h,空振り,則本 昂大,ジャンセン・ウィティ,0-1,top:164px; left:76px;
5,フォーク,137km/h,空三振  [ワンバウンド、ハーフスイング],則本 昂大,ジャンセン・ウィティ,0-1,top:172px; left:36px;
1,スライダー,129km/h,左安,則本 昂大,愛斗,0-2,top:152px; left:28px;
1,カーブ,114km/h,空振り,則本 昂大,外崎 修汰,0-2,top:96px; left:38px;
2,フォーク,137km/h,ボール  [ワンバウンド],則本 昂大,外崎 修汰,0-2,top:168px; left:64px;
3,カーブ,119km/h,空振り,則本 昂大,外崎 修汰,0-2,top:153px; left:44px;
4,ストレート,152km/h,ファウル,則本 昂大,外崎 修汰,0-2,top:56px; left:49px;
5,スライダー,130km/h,中飛  [泳ぎ、バットの先],則本 昂大,外崎 修汰,0-2,top:55px; left:15px;
