投球数,球種,球速,結果,投手,打者,スコア,投球コース
1,ストレート,147km/h,中飛,菅野 智之,大島 洋平,0-0,top:34px; left:72px;
1,ストレート,144km/h,ボール,菅野 智之,岡林 勇希,0-0,top:81px; left:130px;
2,カットボール,139km/h,見逃し,菅野 智之,岡林 勇希,0-0,top:39px; left:64px;
3,スライダー,132km/h,二ゴロ,菅野 智之,岡林 勇希,0-0,top:70px; left:60px;
1,ツーシーム,147km/h,ボール,菅野 智之,福留 孝介,0-0,top:109px; left:126px;
2,スライダー,134km/h,見逃し,菅野 智之,福留 孝介,0-0,top:38px; left:35px;
3,ストレート,147km/h,ボール,菅野 智之,福留 孝介,0-0,top:20px; left:29px;
4,ストレート,149km/h,空振り,菅野 智之,福留 孝介,0-0,top:23px; left:39px;
5,ストレート,148km/h,ファウル,菅野 智之,福留 孝介,0-0,top:113px; left:103px;
6,フォーク,139km/h,二ゴロ,菅野 智之,福留 孝介,0-0,top:130px; left:104px;
1,ストレート,146km/h,ファウル,大野 雄大,吉川 尚輝,0-0,top:60px; left:80px;
2,ストレート,147km/h,ボール,大野 雄大,吉川 尚輝,0-0,top:104px; left:124px;
3,カットボール,132km/h,空振り,大野 雄大,吉川 尚輝,0-0,top:80px; left:120px;
4,フォーク,136km/h,ファウル  [自打球],大野 雄大,吉川 尚輝,0-0,top:157px; left:45px;
5,ストレート,147km/h,遊飛  [詰り],大野 雄大,吉川 尚輝,0-0,top:55px; left:48px;
1,ストレート,148km/h,ボール,大野 雄大,廣岡 大志,0-0,top:12px; left:10px;
2,ツーシーム,141km/h,見逃し,大野 雄大,廣岡 大志,0-0,top:53px; left:32px;
3,ツーシーム,141km/h,ボール,大野 雄大,廣岡 大志,0-0,top:155px; left:109px;
4,ツーシーム,140km/h,空振り,大野 雄大,廣岡 大志,0-0,top:144px; left:30px;
5,ストレート,148km/h,ファウル,大野 雄大,廣岡 大志,0-0,top:136px; left:83px;
