投球数,球種,球速,結果,投手,打者,スコア,投球コース
1,ストレート,156km/h,見逃し,藤浪 晋太郎,塩見 泰隆,0-0,top:81px; left:104px;
2,ストレート,150km/h,右２,藤浪 晋太郎,塩見 泰隆,0-0,top:47px; left:40px;
1,ストレート,154km/h,ボール,藤浪 晋太郎,青木 宣親,0-0,top:156px; left:126px;
2,カットボール,138km/h,見逃し,藤浪 晋太郎,青木 宣親,0-0,top:66px; left:72px;
3,ストレート,157km/h,空振り,藤浪 晋太郎,青木 宣親,0-0,top:120px; left:58px;
4,ストレート,156km/h,ボール,藤浪 晋太郎,青木 宣親,0-0,top:25px; left:134px;
5,スプリット,142km/h,ボール  [ワンバウンド],藤浪 晋太郎,青木 宣親,0-0,top:170px; left:68px;
6,ストレート,157km/h,ファウル  [自打球],藤浪 晋太郎,青木 宣親,0-0,top:129px; left:64px;
7,カットボール,137km/h,二ゴロ  [打球処理もたつく],藤浪 晋太郎,青木 宣親,0-0,top:70px; left:78px;
1,ストレート,157km/h,ボール,藤浪 晋太郎,山田 哲人,0-0,top:14px; left:39px;
2,カットボール,138km/h,死球  [すっぽ抜け],藤浪 晋太郎,山田 哲人,0-0,top:18px; left:131px;
1,スプリット,-,ボール,藤浪 晋太郎,村上 宗隆,0-0,top:164px; left:127px;
2,ストレート,156km/h,ファウル,藤浪 晋太郎,村上 宗隆,0-0,top:30px; left:108px;
3,スプリット,146km/h,空振り,藤浪 晋太郎,村上 宗隆,0-0,top:67px; left:57px;
4,ストレート,159km/h,ボール,藤浪 晋太郎,村上 宗隆,0-0,top:58px; left:16px;
5,ストレート,158km/h,ボール,藤浪 晋太郎,村上 宗隆,0-0,top:132px; left:8px;
6,スプリット,149km/h,ファウル,藤浪 晋太郎,村上 宗隆,0-0,top:95px; left:43px;
7,カットボール,136km/h,空三振,藤浪 晋太郎,村上 宗隆,0-0,top:67px; left:90px;
1,カットボール,142km/h,ボール,藤浪 晋太郎,サンタナ,1-0,top:104px; left:14px;
2,ストレート,156km/h,右安,藤浪 晋太郎,サンタナ,1-0,top:115px; left:49px;
1,ストレート,152km/h,ボール,藤浪 晋太郎,長岡 秀樹,1-0,top:102px; left:9px;
2,カットボール,137km/h,遊飛  [後ろ向きにキャッチ、好プレイ],藤浪 晋太郎,長岡 秀樹,1-0,top:46px; left:72px;
1,カットボール,136km/h,ボール,小川 泰弘,近本 光司,1-0,top:10px; left:63px;
2,カットボール,139km/h,見逃し,小川 泰弘,近本 光司,1-0,top:64px; left:28px;
