投球数,球種,球速,結果,投手,打者,スコア,アウトカウント
1,ツーシーム,143km/h,見逃し,青柳 晃洋,森 敬斗,0-0,●
2,シンカー,131km/h,ボール  [ハーフスイング],青柳 晃洋,森 敬斗,0-0,●
3,ツーシーム,141km/h,ファウル,青柳 晃洋,森 敬斗,0-0,●
4,シンカー,130km/h,ファウル,青柳 晃洋,森 敬斗,0-0,●
5,ストレート,144km/h,ボール,青柳 晃洋,森 敬斗,0-0,●
6,ツーシーム,143km/h,ファウル,青柳 晃洋,森 敬斗,0-0,●
7,スライダー,124km/h,ボール,青柳 晃洋,森 敬斗,0-0,●
8,ストレート,145km/h,ファウル,青柳 晃洋,森 敬斗,0-0,●
9,ストレート,142km/h,ファウル,青柳 晃洋,森 敬斗,0-0,●
10,ストレート,145km/h,一ゴロ  [詰り],青柳 晃洋,森 敬斗,0-0,●
1,ツーシーム,143km/h,見逃し,青柳 晃洋,関根 大気,0-0,●
2,ツーシーム,142km/h,空振り,青柳 晃洋,関根 大気,0-0,●
3,ストレート,145km/h,死球,青柳 晃洋,関根 大気,0-0,●
1,スライダー,124km/h,ボール,青柳 晃洋,佐野 恵太,0-0,●
2,カットボール,133km/h,ボール,青柳 晃洋,佐野 恵太,0-0,●
3,ストレート,141km/h,二失  [痛烈な当たり],青柳 晃洋,佐野 恵太,0-0,●
1,ストレート,143km/h,ボール,青柳 晃洋,牧 秀悟,1-0,●●
2,ツーシーム,141km/h,ボール,青柳 晃洋,牧 秀悟,1-0,●●
3,ツーシーム,143km/h,左犠飛  [リプレー検証後判定変わらず],青柳 晃洋,牧 秀悟,1-0,●●
1,ツーシーム,140km/h,ボール,青柳 晃洋,宮﨑 敏郎,1-0,●●●
2,ツーシーム,142km/h,ファウル,青柳 晃洋,宮﨑 敏郎,1-0,●●●
3,カットボール,129km/h,ボール,青柳 晃洋,宮﨑 敏郎,1-0,●●●
4,ツーシーム,139km/h,投ゴロ,青柳 晃洋,宮﨑 敏郎,1-0,●●●
1,ストレート,149km/h,ボール  [セーフティバント、バント構え],今永 昇太,島田 海吏,1-0,
2,ストレート,148km/h,ファウル,今永 昇太,島田 海吏,1-0,
3,カットボール,142km/h,中安,今永 昇太,島田 海吏,1-0,
1,ストレート,147km/h,ファウル  [バントファウル],今永 昇太,中野 拓夢,1-0,
2,カットボール,139km/h,ファウル  [バントファウル],今永 昇太,中野 拓夢,1-0,
3,ストレート,150km/h,左安,今永 昇太,中野 拓夢,1-0,
1,ストレート,147km/h,ボール  [セーフティバント、バント構え],今永 昇太,近本 光司,1-0,●
2,ストレート,147km/h,ボール  [セーフティバント、バント構え],今永 昇太,近本 光司,1-0,●
3,ストレート,149km/h,ボール,今永 昇太,近本 光司,1-0,●
4,ストレート,149km/h,見逃し,今永 昇太,近本 光司,1-0,●
5,ストレート,149km/h,見逃し  [一塁へ歩きかける],今永 昇太,近本 光司,1-0,●
6,ストレート,-,ファウル  [ランエンドヒット],今永 昇太,近本 光司,1-0,●
7,ストレート,148km/h,左飛,今永 昇太,近本 光司,1-0,●
1,カットボール,-,ファウル,今永 昇太,佐藤 輝明,1-0,●●
2,ストレート,148km/h,遊飛  [詰り、インフィールドフライ],今永 昇太,佐藤 輝明,1-0,●●
1,ストレート,150km/h,ボール  [ワンバウンド],今永 昇太,大山 悠輔,1-0,●●
2,チェンジアップ,128km/h,ボール,今永 昇太,大山 悠輔,1-0,●●
3,カーブ,112km/h,見逃し,今永 昇太,大山 悠輔,1-0,●●
4,ストレート,149km/h,ボール,今永 昇太,大山 悠輔,1-0,●●
5,チェンジアップ,130km/h,四球,今永 昇太,大山 悠輔,1-0,●●
1,ストレート,149km/h,ファウル,今永 昇太,糸原 健斗,1-2,●●
