投球数,球種,球速,結果,投手,打者,スコア
1,ストレート,142km/h,ボール  [ハーフスイング],二木 康太,山足 達也,0-0
2,ストレート,140km/h,ファウル,二木 康太,山足 達也,0-0
3,スライダー,126km/h,空振り,二木 康太,山足 達也,0-0
4,フォーク,130km/h,空三振,二木 康太,山足 達也,0-0
1,ストレート,144km/h,見逃し,二木 康太,福田 周平,0-0
2,カーブ,107km/h,ボール,二木 康太,福田 周平,0-0
3,ストレート,141km/h,中飛,二木 康太,福田 周平,0-0
1,ストレート,143km/h,見逃し,二木 康太,中川 圭太,0-0
2,ストレート,144km/h,空振り,二木 康太,中川 圭太,0-0
3,ストレート,145km/h,空三振,二木 康太,中川 圭太,0-0
1,ストレート,146km/h,見逃し,田嶋 大樹,荻野 貴司,0-1
2,ストレート,143km/h,ボール,田嶋 大樹,荻野 貴司,0-1
3,ストレート,-,左本  [ラッキーゾーン],田嶋 大樹,荻野 貴司,0-1
1,ストレート,-,左飛,田嶋 大樹,髙部 瑛斗,0-1
1,ストレート,148km/h,見逃し,田嶋 大樹,中村 奨吾,0-1
2,フォーク,134km/h,ボール,田嶋 大樹,中村 奨吾,0-1
3,カットボール,128km/h,空振り,田嶋 大樹,中村 奨吾,0-1
4,ストレート,-,左安,田嶋 大樹,中村 奨吾,0-1
1,カットボール,131km/h,ファウル,田嶋 大樹,井上 晴哉,0-1
2,ストレート,144km/h,見逃し,田嶋 大樹,井上 晴哉,0-1
3,カットボール,130km/h,ボール,田嶋 大樹,井上 晴哉,0-1
4,フォーク,134km/h,ボール  [ハーフスイング],田嶋 大樹,井上 晴哉,0-1
5,ストレート,144km/h,ボール  [ランエンドヒット],田嶋 大樹,井上 晴哉,0-1
1,カットボール,131km/h,ファウル,田嶋 大樹,井上 晴哉,0-1
2,ストレート,144km/h,見逃し,田嶋 大樹,井上 晴哉,0-1
3,カットボール,130km/h,ボール,田嶋 大樹,井上 晴哉,0-1
4,フォーク,134km/h,ボール  [ハーフスイング],田嶋 大樹,井上 晴哉,0-1
5,ストレート,144km/h,ボール  [ランエンドヒット],田嶋 大樹,井上 晴哉,0-1
6,カットボール,130km/h,ファウル,田嶋 大樹,井上 晴哉,0-1
7,ストレート,147km/h,空三振,田嶋 大樹,井上 晴哉,0-1
1,カットボール,130km/h,ボール,田嶋 大樹,レアード,0-1
2,ストレート,147km/h,ファウル,田嶋 大樹,レアード,0-1
3,フォーク,-,三ゴロ  [バットの先、ランニングスロー],田嶋 大樹,レアード,0-1
1,ストレート,143km/h,ボール,二木 康太,吉田 正尚,0-1
2,スライダー,123km/h,ボール,二木 康太,吉田 正尚,0-1
3,スライダー,128km/h,見逃し,二木 康太,吉田 正尚,0-1
4,スライダー,127km/h,ファウル,二木 康太,吉田 正尚,0-1
5,ストレート,143km/h,三邪飛,二木 康太,吉田 正尚,0-1
1,ストレート,140km/h,ファウル,二木 康太,杉本 裕太郎,0-1
2,ストレート,-,中安,二木 康太,杉本 裕太郎,0-1
1,ストレート,144km/h,ボール,二木 康太,宗 佑磨,0-1
2,ストレート,144km/h,ボール,二木 康太,宗 佑磨,0-1
3,ストレート,142km/h,ボール,二木 康太,宗 佑磨,0-1
4,ストレート,140km/h,見逃し,二木 康太,宗 佑磨,0-1
5,ストレート,-,空振り  [ランエンドヒット],二木 康太,宗 佑磨,0-1
1,ストレート,144km/h,ボール,二木 康太,宗 佑磨,0-1
2,ストレート,144km/h,ボール,二木 康太,宗 佑磨,0-1
3,ストレート,142km/h,ボール,二木 康太,宗 佑磨,0-1
4,ストレート,140km/h,見逃し,二木 康太,宗 佑磨,0-1
5,ストレート,-,空振り  [ランエンドヒット],二木 康太,宗 佑磨,0-1
6,ストレート,144km/h,四球,二木 康太,宗 佑磨,0-1
1,ストレート,144km/h,見逃し,二木 康太,マッカーシー,0-1
