投球数,球種,球速,結果,投手,打者,スコア,アウトカウント
1,ストレート,141km/h,見逃し,石田 健大,岡林 勇希,0-0,
2,スライダー,129km/h,ボール,石田 健大,岡林 勇希,0-0,
3,ストレート,143km/h,ボール,石田 健大,岡林 勇希,0-0,
4,スライダー,127km/h,ボール,石田 健大,岡林 勇希,0-0,
5,スライダー,124km/h,遊失  [送球できず],石田 健大,岡林 勇希,0-0,
1,ストレート,143km/h,ボール,石田 健大,大島 洋平,0-0,●
2,ストレート,143km/h,見逃し,石田 健大,大島 洋平,0-0,●
3,ストレート,144km/h,捕邪飛,石田 健大,大島 洋平,0-0,●
1,ストレート,142km/h,見逃し,石田 健大,阿部 寿樹,0-0,●
2,ストレート,141km/h,ボール,石田 健大,阿部 寿樹,0-0,●
3,カットボール,133km/h,ボール,石田 健大,阿部 寿樹,0-0,●
4,チェンジアップ,129km/h,ボール  [送球できず],石田 健大,阿部 寿樹,0-0,●
1,ストレート,142km/h,見逃し,石田 健大,阿部 寿樹,0-0,●●
2,ストレート,141km/h,ボール,石田 健大,阿部 寿樹,0-0,●●
3,カットボール,133km/h,ボール,石田 健大,阿部 寿樹,0-0,●●
4,チェンジアップ,129km/h,ボール  [送球できず],石田 健大,阿部 寿樹,0-0,●●
5,カットボール,136km/h,中飛  [タッチアップ],石田 健大,阿部 寿樹,0-0,●●
1,ストレート,143km/h,見逃し,石田 健大,ビシエド,1-0,●●
2,カーブ,114km/h,見逃し,石田 健大,ビシエド,1-0,●●
3,ストレート,144km/h,投安  [投手のグラブを弾く、送球できず],石田 健大,ビシエド,1-0,●●
1,カットボール,135km/h,ボール,石田 健大,木下 拓哉,1-0,●●●
2,チェンジアップ,131km/h,ファウル,石田 健大,木下 拓哉,1-0,●●●
3,ストレート,144km/h,左飛  [フェンスギリギリ],石田 健大,木下 拓哉,1-0,●●●
1,ストレート,148km/h,見逃し,髙橋 宏斗,関根 大気,1-0,●
2,ナックルカーブ,124km/h,ファウル  [自打球],髙橋 宏斗,関根 大気,1-0,●
3,スプリット,137km/h,二ゴロ,髙橋 宏斗,関根 大気,1-0,●
1,ナックルカーブ,123km/h,見逃し,髙橋 宏斗,森 敬斗,1-0,●
