投球数,球種,球速,結果,投手,打者,スコア,アウトカウント
1,ストレート,147km/h,中飛,菅野 智之,大島 洋平,0-0,●
1,ストレート,144km/h,ボール,菅野 智之,岡林 勇希,0-0,●●
2,カットボール,139km/h,見逃し,菅野 智之,岡林 勇希,0-0,●●
3,スライダー,132km/h,二ゴロ,菅野 智之,岡林 勇希,0-0,●●
1,ツーシーム,147km/h,ボール,菅野 智之,福留 孝介,0-0,●●●
2,スライダー,134km/h,見逃し,菅野 智之,福留 孝介,0-0,●●●
3,ストレート,147km/h,ボール,菅野 智之,福留 孝介,0-0,●●●
4,ストレート,149km/h,空振り,菅野 智之,福留 孝介,0-0,●●●
5,ストレート,148km/h,ファウル,菅野 智之,福留 孝介,0-0,●●●
6,フォーク,139km/h,二ゴロ,菅野 智之,福留 孝介,0-0,●●●
1,ストレート,146km/h,ファウル,大野 雄大,吉川 尚輝,0-0,●
2,ストレート,147km/h,ボール,大野 雄大,吉川 尚輝,0-0,●
3,カットボール,132km/h,空振り,大野 雄大,吉川 尚輝,0-0,●
4,フォーク,136km/h,ファウル  [自打球],大野 雄大,吉川 尚輝,0-0,●
5,ストレート,147km/h,遊飛  [詰り],大野 雄大,吉川 尚輝,0-0,●
1,ストレート,148km/h,ボール,大野 雄大,廣岡 大志,0-0,●●
2,ツーシーム,141km/h,見逃し,大野 雄大,廣岡 大志,0-0,●●
3,ツーシーム,141km/h,ボール,大野 雄大,廣岡 大志,0-0,●●
4,ツーシーム,140km/h,空振り,大野 雄大,廣岡 大志,0-0,●●
5,ストレート,148km/h,ファウル,大野 雄大,廣岡 大志,0-0,●●
6,ストレート,149km/h,ボール,大野 雄大,廣岡 大志,0-0,●●
7,フォーク,137km/h,空三振,大野 雄大,廣岡 大志,0-0,●●
1,ストレート,149km/h,ボール,大野 雄大,ポランコ,0-0,●●
2,ストレート,148km/h,ボール,大野 雄大,ポランコ,0-0,●●
3,ストレート,148km/h,空振り,大野 雄大,ポランコ,0-0,●●
4,ストレート,149km/h,中安,大野 雄大,ポランコ,0-0,●●
1,ツーシーム,142km/h,ボール,大野 雄大,岡本 和真,0-0,●●●
2,ストレート,147km/h,見逃し,大野 雄大,岡本 和真,0-0,●●●
3,ツーシーム,141km/h,ファウル,大野 雄大,岡本 和真,0-0,●●●
4,ストレート,148km/h,ボール,大野 雄大,岡本 和真,0-0,●●●
5,フォーク,140km/h,ファウル,大野 雄大,岡本 和真,0-0,●●●
6,フォーク,138km/h,ファウル,大野 雄大,岡本 和真,0-0,●●●
7,ストレート,148km/h,左飛,大野 雄大,岡本 和真,0-0,●●●
1,ストレート,144km/h,見逃し,菅野 智之,ビシエド,0-0,●
2,ストレート,145km/h,ボール,菅野 智之,ビシエド,0-0,●
3,スライダー,133km/h,ファウル,菅野 智之,ビシエド,0-0,●
4,ストレート,149km/h,ファウル,菅野 智之,ビシエド,0-0,●
5,ストレート,148km/h,ボール,菅野 智之,ビシエド,0-0,●
6,スライダー,134km/h,右飛,菅野 智之,ビシエド,0-0,●
1,カーブ,123km/h,ファウル,菅野 智之,木下 拓哉,0-0,●●
2,ストレート,147km/h,ボール,菅野 智之,木下 拓哉,0-0,●●
3,カットボール,141km/h,二飛,菅野 智之,木下 拓哉,0-0,●●
1,カットボール,140km/h,ボール,菅野 智之,阿部 寿樹,0-0,●●●
2,カットボール,139km/h,ボール  [ハーフスイング],菅野 智之,阿部 寿樹,0-0,●●●
3,カットボール,140km/h,見逃し,菅野 智之,阿部 寿樹,0-0,●●●
