投球数,球種,球速,結果,投手,打者,スコア
1,ストレート,149km/h,ボール,松井 友飛,平沼 翔太,0-0
2,ストレート,148km/h,ボール,松井 友飛,平沼 翔太,0-0
3,ストレート,148km/h,見逃し,松井 友飛,平沼 翔太,0-0
4,ストレート,146km/h,ボール,松井 友飛,平沼 翔太,0-0
5,ストレート,149km/h,見逃し  [一塁へ歩きかける],松井 友飛,平沼 翔太,0-0
6,ストレート,149km/h,空三振  [ハーフスイング],松井 友飛,平沼 翔太,0-0
1,ストレート,149km/h,ボール,松井 友飛,源田 壮亮,0-0
2,ストレート,148km/h,ファウル,松井 友飛,源田 壮亮,0-0
3,カーブ,126km/h,ボール  [ワンバウンド],松井 友飛,源田 壮亮,0-0
4,ストレート,149km/h,見逃し,松井 友飛,源田 壮亮,0-0
5,チェンジアップ,137km/h,ボール,松井 友飛,源田 壮亮,0-0
6,ストレート,149km/h,ファウル,松井 友飛,源田 壮亮,0-0
7,ストレート,148km/h,ファウル,松井 友飛,源田 壮亮,0-0
8,ストレート,149km/h,四球,松井 友飛,源田 壮亮,0-0
1,チェンジアップ,133km/h,ボール,松井 友飛,森 友哉,0-0
2,ストレート,146km/h,ボール,松井 友飛,森 友哉,0-0
3,ストレート,147km/h,投ゴロ  [投手のグラブを弾く],松井 友飛,森 友哉,0-0
1,カーブ,125km/h,ボール  [ワンバウンド],松井 友飛,山川 穂高,1-0
2,カーブ,123km/h,空振り,松井 友飛,山川 穂高,1-0
3,ストレート,149km/h,ファウル  [高めのつり球を要求],松井 友飛,山川 穂高,1-0
4,チェンジアップ,134km/h,ボール,松井 友飛,山川 穂高,1-0
5,チェンジアップ,133km/h,左安,松井 友飛,山川 穂高,1-0
1,ストレート,147km/h,ファウル,松井 友飛,外崎 修汰,1-0
2,ストレート,146km/h,見逃し,松井 友飛,外崎 修汰,1-0
3,チェンジアップ,135km/h,空三振  [ファウルチップ],松井 友飛,外崎 修汰,1-0
1,ストレート,145km/h,ボール,髙橋 光成,西川 遥輝,1-0
2,ストレート,144km/h,見逃し,髙橋 光成,西川 遥輝,1-0
3,ストレート,146km/h,中安,髙橋 光成,西川 遥輝,1-0
1,カットボール,139km/h,ボール,髙橋 光成,小深田 大翔,1-0
