投球数,球種,球速,結果,投手,打者,スコア,アウトカウント
1,ストレート,154km/h,ファウル,千賀 滉大,髙部 瑛斗,0-0,
2,ストレート,154km/h,ファウル,千賀 滉大,髙部 瑛斗,0-0,
3,スライダー,134km/h,ボール  [ワンバウンド],千賀 滉大,髙部 瑛斗,0-0,
4,フォーク,138km/h,投安  [強襲],千賀 滉大,髙部 瑛斗,0-0,
1,ストレート,152km/h,ファウル  [バントファウル],千賀 滉大,藤原 恭大,0-0,
2,スライダー,133km/h,空振り  [バント空振り、投球が打者に当たる],千賀 滉大,藤原 恭大,0-0,
3,フォーク,137km/h,ファウル,千賀 滉大,藤原 恭大,0-0,
4,フォーク,136km/h,ボール  [ワンバウンド],千賀 滉大,藤原 恭大,0-0,
5,フォーク,139km/h,ボール  [ワンバウンド],千賀 滉大,藤原 恭大,0-0,
1,ストレート,152km/h,ファウル  [バントファウル],千賀 滉大,藤原 恭大,0-0,●
2,スライダー,133km/h,空振り  [バント空振り、投球が打者に当たる],千賀 滉大,藤原 恭大,0-0,●
3,フォーク,137km/h,ファウル,千賀 滉大,藤原 恭大,0-0,●
4,フォーク,136km/h,ボール  [ワンバウンド],千賀 滉大,藤原 恭大,0-0,●
5,フォーク,139km/h,ボール  [ワンバウンド],千賀 滉大,藤原 恭大,0-0,●
6,ストレート,154km/h,ファウル,千賀 滉大,藤原 恭大,0-0,●
7,スライダー,136km/h,一ゴロ,千賀 滉大,藤原 恭大,0-0,●
1,ストレート,157km/h,空振り,千賀 滉大,中村 奨吾,0-0,●●
2,フォーク,137km/h,空振り,千賀 滉大,中村 奨吾,0-0,●●
3,フォーク,138km/h,空三振,千賀 滉大,中村 奨吾,0-0,●●
1,ストレート,157km/h,ボール,千賀 滉大,レアード,0-0,●●
2,ストレート,157km/h,ファウル,千賀 滉大,レアード,0-0,●●
3,フォーク,137km/h,空振り  [ワンバウンド],千賀 滉大,レアード,0-0,●●
4,ストレート,158km/h,死球,千賀 滉大,レアード,0-0,●●
1,ストレート,154km/h,ボール,千賀 滉大,佐藤 都志也,0-0,●●●
2,スライダー,133km/h,見逃し,千賀 滉大,佐藤 都志也,0-0,●●●
3,スライダー,134km/h,見逃し,千賀 滉大,佐藤 都志也,0-0,●●●
4,ストレート,155km/h,ボール,千賀 滉大,佐藤 都志也,0-0,●●●
5,ストレート,153km/h,遊ゴロ,千賀 滉大,佐藤 都志也,0-0,●●●
1,ストレート,143km/h,ファウル,二木 康太,柳町 達,0-0,●
2,ストレート,145km/h,見逃し,二木 康太,柳町 達,0-0,●
3,ストレート,143km/h,ボール,二木 康太,柳町 達,0-0,●
4,フォーク,134km/h,空三振  [ワンバウンド],二木 康太,柳町 達,0-0,●
1,ストレート,144km/h,中３  [フェンス直撃],二木 康太,野村 勇,0-0,●
1,ストレート,147km/h,ボール,二木 康太,中村 晃,0-1,●
2,ストレート,146km/h,見逃し,二木 康太,中村 晃,0-1,●
3,ストレート,147km/h,ボール,二木 康太,中村 晃,0-1,●
4,フォーク,135km/h,ボール  [ワンバウンド],二木 康太,中村 晃,0-1,●
5,ストレート,142km/h,右安  [内野前進],二木 康太,中村 晃,0-1,●
1,スライダー,124km/h,ボール,二木 康太,グラシアル,0-1,●
2,ストレート,147km/h,見逃し,二木 康太,グラシアル,0-1,●
3,フォーク,133km/h,ボール  [ワンバウンド],二木 康太,グラシアル,0-1,●
1,スライダー,124km/h,ボール,二木 康太,グラシアル,0-1,●●
2,ストレート,147km/h,見逃し,二木 康太,グラシアル,0-1,●●
3,フォーク,133km/h,ボール  [ワンバウンド],二木 康太,グラシアル,0-1,●●
4,ストレート,143km/h,中飛,二木 康太,グラシアル,0-1,●●
1,ストレート,147km/h,遊安  [送球できず],二木 康太,牧原 大成,0-1,●●
1,ストレート,147km/h,空振り,二木 康太,上林 誠知,0-1,●●
2,ストレート,146km/h,ボール,二木 康太,上林 誠知,0-1,●●
3,カーブ,104km/h,ボール,二木 康太,上林 誠知,0-1,●●
4,ストレート,146km/h,ファウル,二木 康太,上林 誠知,0-1,●●
5,ストレート,143km/h,ボール  [ランエンドヒット、送球できず],二木 康太,上林 誠知,0-1,●●
1,ストレート,147km/h,空振り,二木 康太,上林 誠知,0-1,●●
2,ストレート,146km/h,ボール,二木 康太,上林 誠知,0-1,●●
3,カーブ,104km/h,ボール,二木 康太,上林 誠知,0-1,●●
4,ストレート,146km/h,ファウル,二木 康太,上林 誠知,0-1,●●
5,ストレート,143km/h,ボール  [ランエンドヒット、送球できず],二木 康太,上林 誠知,0-1,●●
6,ストレート,144km/h,ファウル,二木 康太,上林 誠知,0-1,●●
