投球数,球種,球速,結果,投手,打者,スコア
1,ストレート,147km/h,ボール,西 純矢,西川 遥輝,0-0
2,ストレート,147km/h,見逃し,西 純矢,西川 遥輝,0-0
3,ストレート,149km/h,ボール  [ワンバウンド],西 純矢,西川 遥輝,0-0
4,ストレート,146km/h,ボール,西 純矢,西川 遥輝,0-0
5,ストレート,146km/h,二ゴロ,西 純矢,西川 遥輝,0-0
1,カーブ,124km/h,ボール  [ワンバウンド],西 純矢,小深田 大翔,0-0
2,ストレート,146km/h,ボール,西 純矢,小深田 大翔,0-0
3,ストレート,147km/h,左安,西 純矢,小深田 大翔,0-0
1,カーブ,122km/h,見逃し,西 純矢,浅村 栄斗,0-0
2,ストレート,149km/h,中飛,西 純矢,浅村 栄斗,0-0
1,ストレート,147km/h,ボール,西 純矢,島内 宏明,0-0
2,ストレート,148km/h,見逃し,西 純矢,島内 宏明,0-0
3,スライダー,130km/h,ファウル,西 純矢,島内 宏明,0-0
4,フォーク,142km/h,遊飛  [ランエンドヒット、泳ぎ],西 純矢,島内 宏明,0-0
1,ストレート,137km/h,二ゴロ,辛島 航,近本 光司,0-0
1,ストレート,137km/h,ボール,辛島 航,中野 拓夢,0-0
2,カーブ,107km/h,見逃し,辛島 航,中野 拓夢,0-0
3,スライダー,120km/h,見逃し,辛島 航,中野 拓夢,0-0
4,スライダー,122km/h,見三振,辛島 航,中野 拓夢,0-0
1,カーブ,105km/h,見逃し,辛島 航,マルテ,0-0
2,シュート,139km/h,ボール,辛島 航,マルテ,0-0
3,ストレート,138km/h,ボール,辛島 航,マルテ,0-0
4,スライダー,117km/h,ボール,辛島 航,マルテ,0-0
5,ストレート,136km/h,四球,辛島 航,マルテ,0-0
1,スライダー,122km/h,ボール,辛島 航,佐藤 輝明,0-0
2,ストレート,-,ボール,辛島 航,佐藤 輝明,0-0
3,カーブ,110km/h,一ゴロ  [ダイビングキャッチ],辛島 航,佐藤 輝明,0-0
